0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:52:23 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:52:25 +0900] "POST /First_half/Practice20/result.jsp HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:53:20 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:53:26 +0900] "POST /First_half/Practice20/result.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:53:32 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:53:36 +0900] "POST /First_half/Practice20/result.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:53:49 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:53:55 +0900] "POST /First_half/Practice20/result.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:58:42 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:58:42 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:58:42 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:58:54 +0900] "POST /First_half/Practice20/result.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:59:10 +0900] "GET /First_half/Practice20/result.jsp HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:59:18 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:59:21 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [31/Oct/2019:16:59:29 +0900] "POST /First_half/Practice20/result.jsp HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:05:18 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2129
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:05:18 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:05:18 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:05:23 +0900] "GET /First_half/Practice20/result.jsp?type=%ED%95%99%EB%B6%80%EC%83%9D&strID=DDD&strPwd=%E3%85%87%E3%85%87%E3%85%87 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:07:29 +0900] "GET /First_half/Practice20/login.jsp HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:07:29 +0900] "GET /First_half/Practice20/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:07:29 +0900] "GET /First_half/Practice20/image/eclass_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:07:32 +0900] "POST /First_half/Practice20/result.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:08:41 +0900] "GET /First_half/Practice21/Practice21.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:09:41 +0900] "GET /First_half/Practice21/Practice21.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:11:58 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:11:59 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:27 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:27 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:28 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:28 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:28 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:28 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:29 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:29 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:32 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:32 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:51 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:12:51 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:01 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:01 +0900] "GET /First_half/Practice22/image/eclass_title.jpg HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:01 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:01 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:01 +0900] "GET /First_half/Practice22/image/eclass_title.jpg HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:01 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:44 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:44 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:44 +0900] "GET /First_half/Practice22/image/eclass_title.jpg HTTP/1.1" 200 30916
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:49 +0900] "GET /First_half/Practice22/Practice22.jsp HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:14:49 +0900] "GET /First_half/Practice22/image/eclass_title.jpg HTTP/1.1" 200 30916
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:36:41 +0900] "GET /First_half/Practice22/member3.jsp HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:36:41 +0900] "GET /First_half/Practice22/image/eclass_title.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2019:17:36:41 +0900] "GET /First_half/Practice22/image/check.gif HTTP/1.1" 304 -
